,Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to subnational parent value or percentiles,Time period Sortable
11,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Traditional communities with deprived areas and poorer health,2010,5.91560652264738,,,,,715175.0,12089631.0,Aggregated from all known lower geography values,,Higher,Not compared,20100000
12,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with lower deprivation and better health,2010,6.156127266474099,,,,,460737.0,7484202.0,Aggregated from all known lower geography values,,Higher,Not compared,20100000
13,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with younger adults and university cities,2010,5.58671196206694,,,,,303814.0,5438153.99939818,Aggregated from all known lower geography values,,Lower,Not compared,20100000
14,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Smaller CCGs with older populations and more rural areas,2010,5.02836526687381,,,,,448560.0,8920592.99977773,Aggregated from all known lower geography values,,Lower,Not compared,20100000
15,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Larger CCGs with older populations and more rural areas,2010,5.48297609304783,,,,,613379.0,11186971.9946023,Aggregated from all known lower geography values,,Lower,Not compared,20100000
16,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Asian",2010,7.19154246223225,,,,,365668.0,5084695.0,Aggregated from all known lower geography values,,Higher,Not compared,20100000
17,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Black",2010,7.045095511536339,,,,,233194.0,3310019.0,Aggregated from all known lower geography values,,Higher,Not compared,20100000
18,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Mixed communities in Inner London,2010,5.813986108725799,,,,,84971.0,1461493.0,Aggregated from all known lower geography values,,Same,Not compared,20100000
7509,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,,,2011,5.984459189789879,5.97820748115618,5.99071701958674,,,3306275.99954618,55247698.9932028,,,Not compared,Not compared,20110000
7510,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Most deprived decile,2011,6.83242915568444,,,,,400344.0,5859468.0,Aggregated from all known lower geography values,,Higher,Not compared,20110000
7511,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second most deprived decile,2011,6.55381519132538,,,,,395268.0,6031113.0,Aggregated from all known lower geography values,,Higher,Not compared,20110000
7512,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third more deprived decile,2011,5.96873904252056,,,,,288190.0,4828323.0,Aggregated from all known lower geography values,,Same,Not compared,20110000
7513,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth more deprived decile,2011,6.0824929942152695,,,,,314075.0,5163590.0,Aggregated from all known lower geography values,,Higher,Not compared,20110000
7514,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth more deprived decile,2011,5.745865527739179,,,,,305156.999546177,5310896.9932028,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7515,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth less deprived decile,2011,5.62590215197495,,,,,295162.0,5246483.0,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7516,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth less deprived decile,2011,5.64668313567396,,,,,324901.0,5753838.0,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7517,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third less deprived decile,2011,5.767995573949269,,,,,343313.0,5952033.0,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7518,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second least deprived decile,2011,5.62752072481613,,,,,341768.0,6073154.0,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7519,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Least deprived decile,2011,5.928248518231269,,,,,298029.0,5027269.0,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7520,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Traditional communities with deprived areas and poorer health,2011,6.02956389783084,,,,,730305.0,12112070.0,Aggregated from all known lower geography values,,Higher,Not compared,20110000
7521,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with lower deprivation and better health,2011,6.292412313002489,,,,,472749.0,7513001.0,Aggregated from all known lower geography values,,Higher,Not compared,20110000
7522,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with younger adults and university cities,2011,5.715350849941701,,,,,312752.0,5472140.0,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7523,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Smaller CCGs with older populations and more rural areas,2011,5.12022399201744,,,,,457106.0,8927461.0,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7524,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Larger CCGs with older populations and more rural areas,2011,5.60476571379313,,,,,630019.999546177,11240790.993202802,Aggregated from all known lower geography values,,Lower,Not compared,20110000
7525,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Asian",2011,7.26815014523206,,,,,376339.0,5177920.0,Aggregated from all known lower geography values,,Higher,Not compared,20110000
7526,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Black",2011,7.1648723587968,,,,,240392.0,3355147.0,Aggregated from all known lower geography values,,Higher,Not compared,20110000
7527,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Mixed communities in Inner London,2011,5.97829015264866,,,,,86544.0,1447638.0,Aggregated from all known lower geography values,,Same,Not compared,20110000
15035,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,,,2012,6.035000789,6.0287505139999995,6.041257127000001,,,3361999.0,55708344.0,,,Not compared,Not compared,20120000
15036,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Most deprived decile,2012,6.8501411813280795,,,,,408467.0,5962899.0,Aggregated from all known lower geography values,,Higher,Not compared,20120000
15037,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second most deprived decile,2012,6.574920323115999,,,,,399107.0,6070142.0,Aggregated from all known lower geography values,,Higher,Not compared,20120000
15038,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third more deprived decile,2012,6.013644439677769,,,,,292131.0,4857803.0,Aggregated from all known lower geography values,,Same,Not compared,20120000
15039,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth more deprived decile,2012,6.14196884622699,,,,,319738.0,5205790.0,Aggregated from all known lower geography values,,Higher,Not compared,20120000
15040,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth more deprived decile,2012,5.81745149298944,,,,,310628.0,5339589.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15041,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth less deprived decile,2012,5.69072387316988,,,,,300765.0,5285180.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15042,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth less deprived decile,2012,5.71881395748819,,,,,331174.0,5790956.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15043,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third less deprived decile,2012,5.81853959731097,,,,,349801.0,6011835.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15044,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second least deprived decile,2012,5.67069924519798,,,,,347243.0,6123460.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15045,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Least deprived decile,2012,5.986569656785611,,,,,302869.0,5059141.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15046,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Traditional communities with deprived areas and poorer health,2012,6.07971142704923,,,,,740151.0,12174114.0,Aggregated from all known lower geography values,,Higher,Not compared,20120000
15047,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with lower deprivation and better health,2012,6.37916978374412,,,,,482553.0,7564511.0,Aggregated from all known lower geography values,,Higher,Not compared,20120000
15048,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with younger adults and university cities,2012,5.78149858779685,,,,,318735.0,5513017.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15049,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Smaller CCGs with older populations and more rural areas,2012,5.155977543153269,,,,,463047.0,8980780.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15050,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Larger CCGs with older populations and more rural areas,2012,5.653606045591401,,,,,640915.0,11336393.0,Aggregated from all known lower geography values,,Lower,Not compared,20120000
15051,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Asian",2012,7.294471855275849,,,,,385854.0,5289677.0,Aggregated from all known lower geography values,,Higher,Not compared,20120000
15052,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Black",2012,7.18230872421539,,,,,243822.0,3394758.0,Aggregated from all known lower geography values,,Higher,Not compared,20120000
15053,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Mixed communities in Inner London,2012,5.97477202288199,,,,,86846.0,1453545.0,Aggregated from all known lower geography values,,Same,Not compared,20120000
22569,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,,,2013,6.04049607155028,6.03426185498499,6.0467363144445505,,,3385312.0,56043609.0,,,Not compared,Not compared,20130000
22570,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Most deprived decile,2013,6.8940368682033,,,,,412144.0,5978268.0,Aggregated from all known lower geography values,,Higher,Not compared,20130000
22571,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second most deprived decile,2013,6.61964990186944,,,,,400698.0,6053160.0,Aggregated from all known lower geography values,,Higher,Not compared,20130000
22572,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third more deprived decile,2013,5.99724545489841,,,,,293489.0,4893730.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22573,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth more deprived decile,2013,6.1222172259524905,,,,,321316.0,5248360.0,Aggregated from all known lower geography values,,Higher,Not compared,20130000
22574,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth more deprived decile,2013,5.825002044108139,,,,,313462.0,5381320.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22575,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth less deprived decile,2013,5.706404651067519,,,,,303673.0,5321617.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22576,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth less deprived decile,2013,5.72394663440304,,,,,333061.0,5818730.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22577,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third less deprived decile,2013,5.821548333064059,,,,,353113.0,6065620.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22578,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second least deprived decile,2013,5.66409712763461,,,,,349187.0,6164919.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22579,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Least deprived decile,2013,5.96330293157572,,,,,305157.0,5117248.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22580,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Traditional communities with deprived areas and poorer health,2013,6.09696139583275,,,,,744177.0,12205703.0,Aggregated from all known lower geography values,,Higher,Not compared,20130000
22581,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with lower deprivation and better health,2013,6.37105369498778,,,,,487176.0,7646710.0,Aggregated from all known lower geography values,,Higher,Not compared,20130000
22582,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with younger adults and university cities,2013,5.79714573627414,,,,,322506.0,5563186.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22583,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Smaller CCGs with older populations and more rural areas,2013,5.15913943558658,,,,,465253.0,9018035.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22584,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Larger CCGs with older populations and more rural areas,2013,5.65497682785851,,,,,645418.0,11413274.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
22585,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Asian",2013,7.29709778308832,,,,,389566.0,5338643.0,Aggregated from all known lower geography values,,Higher,Not compared,20130000
22586,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Black",2013,7.24231682616107,,,,,244643.0,3377966.0,Aggregated from all known lower geography values,,Higher,Not compared,20130000
22587,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Mixed communities in Inner London,2013,5.850870759840619,,,,,86561.0,1479455.0,Aggregated from all known lower geography values,,Lower,Not compared,20130000
30109,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,,,2014,5.997066036024389,5.99087378077337,6.0032642829623795,,,3383744.0,56423324.0,,,Not compared,Not compared,20140000
30110,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Most deprived decile,2014,6.8554236518477305,,,,,412746.0,6020722.0,Aggregated from all known lower geography values,,Higher,Not compared,20140000
30111,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second most deprived decile,2014,6.59439646627797,,,,,400517.0,6073596.0,Aggregated from all known lower geography values,,Higher,Not compared,20140000
30112,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third more deprived decile,2014,5.94062279770198,,,,,292675.0,4926672.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30113,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth more deprived decile,2014,6.04710215725199,,,,,320302.0,5296785.0,Aggregated from all known lower geography values,,Higher,Not compared,20140000
30114,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth more deprived decile,2014,5.7959614373537995,,,,,313742.0,5413114.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30115,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth less deprived decile,2014,5.6799305388095,,,,,304320.0,5357812.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30116,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth less deprived decile,2014,5.690187334184969,,,,,333406.0,5859315.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30117,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third less deprived decile,2014,5.78068709787959,,,,,353413.0,6113685.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30118,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second least deprived decile,2014,5.60860351547555,,,,,348165.0,6207695.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30119,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Least deprived decile,2014,5.90733460382802,,,,,304458.0,5153898.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30120,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Traditional communities with deprived areas and poorer health,2014,6.0765968483602,,,,,744098.0,12245308.0,Aggregated from all known lower geography values,,Higher,Not compared,20140000
30121,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with lower deprivation and better health,2014,6.3249705021330795,,,,,487594.0,7709032.0,Aggregated from all known lower geography values,,Higher,Not compared,20140000
30122,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with younger adults and university cities,2014,5.74875292318362,,,,,323261.0,5623150.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30123,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Smaller CCGs with older populations and more rural areas,2014,5.127978115775321,,,,,464522.0,9058580.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30124,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Larger CCGs with older populations and more rural areas,2014,5.60863494153824,,,,,644633.0,11493581.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
30125,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Asian",2014,7.23917911575319,,,,,390484.0,5394037.0,Aggregated from all known lower geography values,,Higher,Not compared,20140000
30126,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,"Deprived urban areas with younger people and ethnic diversity, particularly Black",2014,7.18386429621271,,,,,243946.0,3395749.0,Aggregated from all known lower geography values,,Higher,Not compared,20140000
30127,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Mixed communities in Inner London,2014,5.66583125922212,,,,,85206.0,1503857.0,Aggregated from all known lower geography values,,Lower,Not compared,20140000
37654,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,,,2015,5.9265490471364295,5.920422860482691,5.932681173146619,,,3378825.0,57011677.0,,,Not compared,Not compared,20150000
37655,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Most deprived decile,2015,6.74994287032241,,,,,413234.0,6122037.0,Aggregated from all known lower geography values,,Higher,Not compared,20150000
37656,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second most deprived decile,2015,6.493544737473191,,,,,399123.0,6146458.0,Aggregated from all known lower geography values,,Higher,Not compared,20150000
37657,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third more deprived decile,2015,5.84147724585307,,,,,290230.0,4968435.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37658,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth more deprived decile,2015,5.96921271706883,,,,,319066.0,5345194.0,Aggregated from all known lower geography values,,Higher,Not compared,20150000
37659,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth more deprived decile,2015,5.74699619380062,,,,,313441.0,5453997.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37660,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth less deprived decile,2015,5.6740864472881,,,,,305515.0,5384391.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37661,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth less deprived decile,2015,5.64938833051354,,,,,334413.0,5919455.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37662,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third less deprived decile,2015,5.69128719177621,,,,,352232.0,6188969.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37663,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second least deprived decile,2015,5.54829574916609,,,,,348285.0,6277333.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37664,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Least deprived decile,2015,5.8263636587180105,,,,,303286.0,5205408.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37665,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Traditional communities with deprived areas and poorer health,2015,6.02861229818716,,,,,743611.0,12334696.0,Aggregated from all known lower geography values,,Higher,Not compared,20150000
37666,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with lower deprivation and better health,2015,6.2533409392445805,,,,,487820.0,7800950.0,Aggregated from all known lower geography values,,Higher,Not compared,20150000
37667,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Areas with younger adults and university cities,2015,5.71695822017766,,,,,323810.0,5664026.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37668,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Smaller CCGs with older populations and more rural areas,2015,5.08188816474949,,,,,463403.0,9118717.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
37669,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG cluster shapes,Larger CCGs with older populations and more rural areas,2015,5.55297536811073,,,,,643974.0,11596918.0,Aggregated from all known lower geography values,,Lower,Not compared,20150000
