,BNF CODE,BNF NAME                                    ,SUB_CHAPTER,SUB_CHAPTER_REM,ITEMS  ,NIC        ,ACT COST   ,QUANTITY
588131,0101010P0AAAAAA,Co-Simalcite_Susp 125mg/500mg/5ml S/F   ,101010,P0AAAAAA,2,10.4,9.66,1000
698740,0101010P0BBAAAA,Altacite Plus_Susp 125mg/500mg/5ml S/F  ,101010,P0BBAAAA,1,5.2,4.83,500
43058,0101010Q0AAAGAG,Mag Hydrox_Oral Susp 7.45-8.35% BP      ,101010,Q0AAAGAG,1,8.05,7.57,500
131191,0101010Q0BDACAG,Phillips Milk Of Magnesia_Liq (Mint)    ,101010,Q0BDACAG,1,6.44,5.98,400
195031,0101010R0AAAAAA,Simeticone_Cap 100mg                    ,101010,R0AAAAAA,1,10.43,9.77,84
2588,0101010R0AAABAB,Simeticone_Susp 40mg/ml S/F             ,101010,R0AAABAB,1,2.71,2.52,50
114516,0101010R0AAADAD,Simeticone_Oral Dps 42mg/5ml            ,101010,R0AAADAD,2,7.2,6.7,400
267933,0101010R0AAAEAE,Simeticone_Tab Chble 125mg              ,101010,R0AAAEAE,1,0.9,0.95,10
59751,0101010R0AAAHAH,Simeticone_Cap 125mg                    ,101010,R0AAAHAH,1,15.18,14.17,112
50972,0101010R0BCAAAB,Infacol_Susp 40mg/ml S/F                ,101010,R0BCAAAB,1,10.84,10.05,200
328197,0101010R0BEAAAD,Dentinox_Infant Colic Dps               ,101010,R0BEAAAD,2,3.6,3.36,200
284284,0101010R0BFAAAE,Wind-Eze_Tab Chble 125mg                ,101010,R0BFAAAE,1,7.59,7.14,84
71683,0101010R0BFABAH,Wind-Eze_Gelcap 125mg                   ,101010,R0BFABAH,1,8.13,7.54,60
269424,0101010R0BHAAAA,WindSetlers_Cap 100mg                   ,101010,R0BHAAAA,1,14.9,13.81,120
3616106,0101010U0AAAAAA,Sod Cit_Oral Soln 441.17mg/5ml          ,101010,U0AAAAAA,1,4.5,4.18,30
2521773,0101010U0BBAAAA,Sodium Citrate 0.3M_Oral Soln           ,101010,U0BBAAAA,1,135,125.06,900
497534,0101012A0AAAAAA,Gppe Gripe Water_Woodward's S/F         ,101012,A0AAAAAA,1,5.16,4.79,300
4088970,0101012A0BBAAAA,Woodward's_Gripe Water S/F Alcohol Free ,101012,A0BBAAAA,2,15.48,14.36,900
52675,0101012B0AAABAB,Sod Bicarb_Oral Soln 420mg/5ml S/F      ,101012,B0AAABAB,1,238.8,221.21,600
7772723,0101012B0AAALAL,Sod Bicarb_Paed Mix 50mg/5ml BPC        ,101012,B0AAALAL,1,172.56,159.85,400
526759,0101012B0AAAPAP,Sod Bicarb_(S)                          ,101012,B0AAAPAP,1,2.23,2.08,300
554115,0101012B0AAAUAU,Sod Bicarb_Liq Spec 420mg/5ml           ,101012,B0AAAUAU,1,1194,1105.99,3000
2943656,0101012B0AABMBM,Sod Bicarb_Liq Spec 336mg/5ml           ,101012,B0AABMBM,1,786.51,728.54,1500
4906834,0101012B0AABSBS,Sod Bicarb_Liq Spec 50mg/5ml            ,101012,B0AABSBS,4,1608.28,1489.77,400
184348,0101012B0AABWBW,Sod Bicarb_Oral Soln 420mg/5ml          ,101012,B0AABWBW,2,105,97.28,400
28725,0101012B0BCAAAB,SodiBic_Oral Soln 420mg/5ml             ,101012,B0BCAAAB,1,35.42,32.82,200
5240389,0101012B0BFAABW,S-Bicarb_Oral Soln 420mg/5ml            ,101012,B0BFAABW,2,105,97.28,400
2336163,0101012B0BIAAAB,Thamicarb_Oral Soln 84mg/ml             ,101012,B0BIAAAB,1,398,368.67,1000
452927,010102100AAABAB,Gppe Tab_Rennie Deflatine               ,101021,00AAABAB,1,3.9,3.62,36
5245289,010102100AAAFAF,Calc Carb/Mag Carb Heavy_Tab 680mg/80mg ,101021,00AAAFAF,1,12,11.13,192
368375,010102100AAAGAG,Bism Subsalic_Oral Susp 87.5mg/5ml S/F  ,101021,00AAAGAG,2,5.08,4.73,480
452928,010102100AAAHAH,Calc Carb/Mag Carb Heavy_Tab 680/80mgS/F,101021,00AAAHAH,1,1.99,1.96,36
336910,010102100AAAIAI,Bism Subsalic_Tab 262.5mg Chble S/F     ,101021,00AAAIAI,1,5.99,5.56,24
4302,010102100BBABAB,Rennie Deflatine_Tab                    ,101021,00BBABAB,1,3.9,3.62,36
473583,010102100BBAQAF,Rennie Peppermint_Tab Chble             ,101021,00BBAQAF,1,2.31,2.15,48
489971,010102100BBARAF,Rennie Spearmint_Tab Chble              ,101021,00BBARAF,2,9.28,8.62,192
6272292,010102100BBAXA0,Galpharm_3-In-1 Antacid Tab Chble       ,101021,00BBAXA0,1,3.46,3.32,100
8754064,010102100BBAYA0,Bisodol Ex Strong Mint_Tab Chble        ,101021,00BBAYA0,1,2.33,2.27,56
720789,010102100BBAZA0,Rennie_Extra Tab Chble                  ,101021,00BBAZA0,1,7.6,7.05,48
5386444,010102100BBBAAH,Rennie_Sugar Free Tab Chble             ,101021,00BBBAAH,1,4.65,4.32,72
476765,010102100BBBCAF,Rennie Ice_Tab Chble                    ,101021,00BBBCAF,1,4.32,4.11,84
2769819,010102100BBBDAI,Pepto-Bismol_Tab 262.5mg Chble          ,101021,00BBBDAI,2,32.48,30.31,224
4295,0101021B0AAAHAH,Alginate_Raft-Forming Oral Susp S/F     ,101021,B0AAAHAH,1,1.95,1.82,500
98824,0101021B0AAAJAJ,Sod/Mag Algin_Pdr Sach 225mg/87.5mg S/F ,101021,B0AAAJAJ,1,4.82,4.48,15
713,0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F           ,101021,B0AAALAL,1,5.12,4.75,500
1724525,0101021B0AAAMAM,Gppe Liq Sach_Gaviscon 10ml S/F         ,101021,B0AAAMAM,1,6.06,5.63,24
714,0101021B0AAAPAP,Sod Alginate/Pot Bicarb_Tab Chble 500mg ,101021,B0AAAPAP,1,3.07,2.86,60
2746359,0101021B0BCAAAC,Gastrocote_Tab                          ,101021,B0BCAAAC,1,5.65,5.25,100
2399389,0101021B0BEABAG,Gaviscon_Tab Chble 500mg (Peppermint)   ,101021,B0BEABAG,1,5.21,4.84,60
2591,0101021B0BEACAH,Gaviscon_Liq Orig Aniseed Relief        ,101021,B0BEACAH,2,34.32,31.81,2700
320,0101021B0BEADAJ,Gaviscon Infant_Sach 2g (Dual Pack) S/F ,101021,B0BEADAJ,4,24.1,22.37,75
12373,0101021B0BEAFAH,Gaviscon_Liq Relief Peppermint          ,101021,B0BEAFAH,1,8.66,8.03,600
321,0101021B0BEAIAL,Gaviscon Advance_Liq (Aniseed) (Reckitt),101021,B0BEAIAL,2,10.94,10.15,800
10396,0101021B0BEAJAM,Gaviscon_Liq Sach 10ml (Peppermint) S/F ,101021,B0BEAJAM,3,18.18,16.88,72
4222712,0101021B0BEAMAG,Gaviscon Ex Strgh_Tab Chble 500mg(P/Mint,101021,B0BEAMAG,1,6.14,5.69,120
251944,0101021B0BEANAH,Gaviscon Cool_Liq (Peppermint) S/F      ,101021,B0BEANAH,1,2.23,2.18,150
475329,0101021B0BEAPA0,Gaviscon Cool_Tab Chble 250mg (P/Mint)  ,101021,B0BEAPA0,1,37.25,34.62,100
717,0101021B0BEAQAP,Gaviscon Advance_Tab Chble Mint(Reckitt),101021,B0BEAQAP,8,51.51,47.81,972
45438,0101021B0BEARA0,Gaviscon Double Action_Tab Chble        ,101021,B0BEARA0,2,32.62,30.34,284
2595,0101021B0BEASA0,Gaviscon Double Action_Liq (Peppermint) ,101021,B0BEASA0,2,14.54,13.5,900
92713,0101021B0BEAUA0,Gaviscon P/Mint_Tab Chble               ,101021,B0BEAUA0,1,8.45,7.94,84
374602,0101021B0BEAVA0,Gaviscon Double Action_Liq (Aniseed)    ,101021,B0BEAVA0,1,5.49,5.1,300
54588,0101021B0BEAWA0,Gaviscon Sbery_Tab Chble                ,101021,B0BEAWA0,1,6.96,6.46,64
421287,0101021B0BEBDA0,Gaviscon Double Action_Liq Sach 10ml    ,101021,B0BEBDA0,1,7.36,6.83,24
718,0101021B0BEBEAL,Gaviscon Advance_Liq (Peppermint) S/F   ,101021,B0BEBEAL,7,36.35,33.86,3550
719,0101021B0BIAAAH,Peptac_Liq (Aniseed) S/F                ,101021,B0BIAAAH,1,1.95,1.82,500
322,0101021B0BIABAH,Peptac_Liq (Peppermint) S/F             ,101021,B0BIABAH,1,1.95,1.82,500
137487,0101021B0BQAAAH,Acidex_Liq (Aniseed)                    ,101021,B0BQAAAH,2,5.12,4.76,1000
112801,0101021B0BQABAH,Acidex_Liq (Peppermint)                 ,101021,B0BQABAH,1,2.56,2.38,500
514163,0101021B0BQACAL,Acidex Advance_Oral Susp (Aniseed)      ,101021,B0BQACAL,1,4.1,3.81,500
531628,0101021B0BQADAL,Acidex Advance_Oral Susp (Peppermint)   ,101021,B0BQADAL,7,30.75,28.57,3750
6335665,0101021B0BSABAH,Boots_Heartburn Relief Liq (Aniseed)    ,101021,B0BSABAH,4,25.16,23.35,2000
109868,0101021C0AAAFAF,Calc Carb_Tab Chble 500mg               ,101021,C0AAAFAF,1,13.49,12.61,252
4700369,0101021C0AAATAT,Calc Carb_Tab 300mg                     ,101021,C0AAATAT,1,383.13,354.9,200
3054023,0101021C0AABQBQ,Calc Carb_Cap 400mg                     ,101021,C0AABQBQ,1,447.26,414.3,28
134383,0101021C0AABXBX,Calc Carb_Tab Chble 800mg               ,101021,C0AABXBX,1,6.02,5.69,56
588140,0101021C0AACECE,Calc Carb_Liq Spec 250mg/5ml            ,101021,C0AACECE,1,447.5,414.52,1000
529469,0101021C0AACICI,Calc Carb_Disper Tab 250mg              ,101021,C0AACICI,1,88.2,81.81,28
3668597,0101021C0AACWCW,Calc Carb_Liq Spec 120mg/5ml            ,101021,C0AACWCW,1,263.65,244.23,300
1116001,0101021C0AACXCX,Calc Carb_Oral Susp 600mg/5ml           ,101021,C0AACXCX,1,97.63,90.45,150
431464,0101021C0AACYCY,Calc Carb_Oral Susp 500mg/5ml           ,101021,C0AACYCY,1,105.31,97.56,300
2441044,0101021C0BBAAAF,Tums_Assorted Fruit Antacid Tab         ,101021,C0BBAAAF,1,4.28,3.98,150
293718,0101021C0BIABAF,Rennie_Orange Tab Chble 500mg           ,101021,C0BIABAF,1,5.14,4.77,96
721,0102000A0AAAAAA,Alverine Cit_Cap 60mg                   ,102000,A0AAAAAA,5,9.44,9.2,184
8757,0102000A0AAABAB,Alverine Cit_Cap 120mg                  ,102000,A0AAABAB,1,32.59,30.3,84
8758,0102000A0BBAAAA,Spasmonal_Cap 60mg                      ,102000,A0BBAAAA,1,16.45,15.25,100
722,0102000A0BBABAB,Spasmonal Fte_Cap 120mg                 ,102000,A0BBABAB,1,29.13,27.09,90
52689,0102000A0BDAAAA,Audmonal_Cap 60mg                       ,102000,A0BDAAAA,1,8.29,7.79,56
33662,0102000A0BDABAB,Audmonal_Forte Cap 120mg                ,102000,A0BDABAB,1,8.28,7.78,28
204880,0102000ACAAAGAG,Atrop Sulf_Tab 600mcg                   ,102000,ACAAAGAG,1,148.59,137.65,84
497545,0102000ACAAARAR,Atrop Sulf_Liq Spec 600mcg/5ml          ,102000,ACAAARAR,2,1298.01,1202.34,400
5536730,0102000ACAAAZAZ,Atrop Sulf_Liq Spec 250mcg/5ml          ,102000,ACAAAZAZ,1,87.69,81.24,50
2735335,0102000ACAABABA,Atrop Sulf_Oral Soln 500mcg/5ml         ,102000,ACAABABA,1,338.2,313.28,100
30287,0102000AJAAAAAA,Alverine Cit/Simeticone_Cap 60mg/300mg  ,102000,AJAAAAAA,1,11,10.2,90
2721335,0102000AJBBAAAA,SimAlvia_Cap 60mg/300mg                 ,102000,AJBBAAAA,1,11,10.2,90
2940194,0102000AKAAAAAA,Eluxadoline_Tab 100mg                   ,102000,AKAAAAAA,1,88.2,81.71,56
1769188,0102000AKAAABAB,Eluxadoline_Tab 75mg                    ,102000,AKAAABAB,1,88.2,81.71,56
1019835,0102000D0BCAAAF,A & P_Infants Pdrs                      ,102000,D0BCAAAF,1,6.06,5.63,40
2121439,0102000H0AAAMAM,Bellad_Medic Plastr 9.5cm x 12.5cm      ,102000,H0AAAMAM,1,47.2,43.73,40
478660,0102000H0AAANAN,Bellad_Medic Plastr 28cm x 17.5cm       ,102000,H0AAANAN,1,16.68,15.46,6
64199,0102000J0AAAAAA,Dicycloverine HCl_Oral Soln 10mg/5ml    ,102000,J0AAAAAA,1,718.88,665.88,480
723,0102000J0AAABAB,Dicycloverine HCl_Tab 10mg              ,102000,J0AAABAB,2,309.54,286.95,168
15668,0102000J0AAACAC,Dicycloverine HCl_Tab 20mg              ,102000,J0AAACAC,5,245.85,228.29,105
3001635,0102000J0BBAAAB,Merbentyl_Tab 10mg                      ,102000,J0BBAAAB,1,110.55,102.51,60
8149733,0102000K0AAAAAA,Gppe Gel_Kolanticon S/F                 ,102000,K0AAAAAA,1,3.6,3.45,300
5810,0102000K0BBAAAA,Kolanticon_Gel S/F                      ,102000,K0BBAAAA,2,44,40.78,2200
35062,0102000L0AAAAAA,Glycopyrronium Brom_Tab 2mg             ,102000,L0AAAAAA,1,711.79,659.43,84
2599,0102000L0AAACAC,Glycopyrronium Brom_Tab 1mg             ,102000,L0AAACAC,1,460.14,426.23,60
54594,0102000L0AAADAD,Glycopyrronium Brom_Liq Spec 1mg/5ml    ,102000,L0AAADAD,1,60.67,56.21,100
1867386,0102000L0AAAGAG,Glycopyrronium Brom_Liq Spec 600mcg/5ml ,102000,L0AAAGAG,1,950.4,880.35,1800
1772408,0102000L0AAAIAI,Glycopyrronium Brom_Liq Spec 2mg/5ml    ,102000,L0AAAIAI,2,2240,2074.89,1750
4208108,0102000L0AAANAN,Glycopyrronium Brom_Liq Spec 400mcg/5ml ,102000,L0AAANAN,1,252.64,234.03,280
1701521,0102000L0AAAVAV,Glycopyrronium Brom_Oral Soln 4mg/5ml   ,102000,L0AAAVAV,3,738.3,683.91,210
424702,0102000L0AABBBB,Glycopyrronium Brom_Oral Soln 2.5mg/5ml ,102000,L0AABBBB,1,273.09,252.97,500
90870,0102000L0AABCBC,Glycopyrronium Brom_Oral Susp 2.5mg/5ml ,102000,L0AABCBC,1,114.23,105.82,200
109871,0102000L0AABDBD,Glycopyrronium Brom_Oral Soln 200mcg/5ml,102000,L0AABDBD,2,185.28,171.64,400
336914,0102000L0AABEBE,Glycopyrronium Brom_Oral Susp 200mcg/5ml,102000,L0AABEBE,1,52.2,48.36,100
156995,0102000L0AABFBF,Glycopyrronium Brom_Oral Soln 5mg/5ml   ,102000,L0AABFBF,1,69.41,64.31,200
100395,0102000L0AABGBG,Glycopyrronium Brom_Oral Susp 5mg/5ml   ,102000,L0AABGBG,2,91.5,84.78,200
1045151,0102000L0AABHBH,Glycopyrronium Brom_Oral Soln 500mcg/5ml,102000,L0AABHBH,2,283.4,262.53,1200
588143,0102000L0AABIBI,Glycopyrronium Brom_Oral Susp 500mcg/5ml,102000,L0AABIBI,1,130.82,121.19,300
2892387,0102000L0AABKBK,Glycopyrronium Brom_Cap 2mg             ,102000,L0AABKBK,1,1423.8,1318.85,168
4305,0102000L0AABNBN,Glycopyrronium Brom_Oral Soln 1mg/5ml SF,102000,L0AABNBN,1,182,168.6,300
121036,0102000L0AABQBQ,Glycopyrronium Brom_OralSoln400mcg/mlS/F,102000,L0AABQBQ,1,320,296.42,250
280087,0102000L0BCAABQ,Sialanar_Oral Soln 320mcg/1ml           ,102000,L0BCAABQ,1,320,296.42,250
1875,0102000N0AAAAAA,Hyoscine Butylbrom_Inj 20mg/ml 1ml Amp  ,102000,N0AAAAAA,1,2.92,2.72,10
297,0102000N0AAABAB,Hyoscine Butylbrom_Tab 10mg             ,102000,N0AAABAB,3,12,11.15,224
298823,0102000N0AAAPAP,Hyoscine Butylbrom_Oral Soln 10mg/5ml   ,102000,N0AAAPAP,1,85.95,79.63,100
1288718,0102000N0AAAQAQ,Hyoscine Butylbrom_Oral Susp 10mg/5ml   ,102000,N0AAAQAQ,3,232.17,215.1,600
323,0102000N0BBAAAB,Buscopan_Tab 10mg                       ,102000,N0BBAAAB,2,4.5,4.29,84
30293,0102000N0BBABAA,Buscopan_Inj 20mg/ml 1ml Amp            ,102000,N0BBABAA,1,26.28,24.36,90
100398,0102000N0BBACAB,Buscopan IBS Relief_Tab 10mg            ,102000,N0BBACAB,1,9.28,8.61,80
1877,0102000N0BBADAB,Buscopan Cramps_Tab 10mg                ,102000,N0BBADAB,1,2.77,2.58,20
43074,0102000P0AAAAAA,Mebeverine HCl_Oral Susp 50mg/5ml S/F   ,102000,P0AAAAAA,1,561,519.66,900
726,0102000P0AAABAB,Mebeverine HCl_Tab 135mg                ,102000,P0AAABAB,21,121.7,114.29,2340
727,0102000P0AAADAD,Mebeverine HCl_Cap 200mg M/R            ,102000,P0AAADAD,3,20.76,19.27,180
6312002,0102000P0AAAEAE,Mebeverine HCl_Oral Pdr Sach 135mg      ,102000,P0AAAEAE,1,1238,1146.75,84
4311,0102000P0BCABAB,Colofac_Tab 135mg                       ,102000,P0BCABAB,1,9.02,8.37,100
304160,0102000P0BCACAB,Colofac IBS_Tab 135mg                   ,102000,P0BCACAB,1,8.49,7.88,45
1878,0102000P0BCAEAD,Colofac MR_Cap 200mg                    ,102000,P0BCAEAD,1,1.61,1.6,14
728,0102000T0AAAAAA,Peppermint Oil_Cap E/C 0.2ml            ,102000,T0AAAAAA,11,56.9,53.34,679
1617702,0102000T0AAABAB,Peppermint_Oil Liq                      ,102000,T0AAABAB,1,27,25.02,200
4313,0102000T0AAAFAF,Peppermint Oil_Cap E/C 0.2ml M/R        ,102000,T0AAAFAF,1,11,10.3,84
729,0102000T0BBAAAF,Colpermin_Cap E/C 0.2ml M/R             ,102000,T0BBAAAF,1,13.09,12.14,100
4315,0102000T0BCAAAA,Mintec_Cap E/C 0.2ml                    ,102000,T0BCAAAA,1,7.04,6.53,84
730,0102000T0BIAAAA,Apercap_Cap E/C 0.2ml                   ,102000,T0BIAAAA,1,6.75,6.26,84
547640,0102000T0BJAAAA,Colomint_Cap G/R 0.2ml                  ,102000,T0BJAAAA,1,5.28,4.9,84
554135,0102000T0BKAAAA,PepperMinn_Cap G/R 0.2ml                ,102000,T0BKAAAA,1,2.31,2.15,84
2606,0102000X0AAAAAA,Ispag/Mebeverine_Gran Eff 3.5g/135mg S/F,102000,X0AAAAAA,2,39.9,37.09,86
2607,0102000X0BCAAAA,Fybogel Mebeverine_Eff Gran Sach S/F    ,102000,X0BCAAAA,1,27.84,25.8,60
5818,0102000Y0AAAFAF,Propantheline Brom_Tab 15mg             ,102000,Y0AAAFAF,5,46.67,43.79,252
238013,0102000Y0AAAIAI,Propantheline Brom_Liq Spec 15mg/5ml    ,102000,Y0AAAIAI,1,506.58,469.25,100
109880,0102000Y0BBAAAF,Pro-Banthine_Tab 15mg                   ,102000,Y0BBAAAF,1,41.48,38.43,224
2074541,010300000AAAAAA,Urea (13-C)_Breath Test Kit Pdr 75mg    ,103000,00AAAAAA,2,43.4,60.23,2
2391634,010300000AAABAB,Gppe Breath Test Kit_Pylobactell        ,103000,00AAABAB,1,20.75,56.73,1
5078079,010300000AAACAC,Gppe Breath Test Kit_Hp-Plus            ,103000,00AAACAC,1,21.35,19.8,1
2074542,010300000AAADAD,Gppe Breath Test Kit_diabact UBT        ,103000,00AAADAD,1,21.25,19.7,1
2442369,010300000AAAEAE,Urea (13-C)_Breath Test Kit Pdr 45mg    ,103000,00AAAEAE,1,19.1,17.7,1
257225,010300000BBAAAA,Helicobacter Test INFAI_Pdr 75mg        ,103000,00BBAAAA,1,21.7,20.1,1
1430060,010300000BBABAB,Pylobactell_Tab Solb 100mg              ,103000,00BBABAB,1,20.75,19.23,1
146550,010300000BBADAD,diabact UBT_Helicobacter Test Tab 50mg  ,103000,00BBADAD,1,21.25,19.7,1
2418674,010300000BBAEAE,Helicobacter Test INFAI_Child Pdr 45mg  ,103000,00BBAEAE,1,19.1,42.7,1
83787,0103010D0AAAAAA,Cimetidine_Tab 200mg                    ,103010,D0AAAAAA,1,68.39,63.46,90
4318,0103010D0AAABAB,Cimetidine_Tab 400mg                    ,103010,D0AAABAB,1,16.63,15.42,60
298835,0103010D0AAACAC,Cimetidine_Tab 800mg                    ,103010,D0AAACAC,2,30.62,28.39,60
109881,0103010D0AAADAD,Cimetidine_Oral Soln 200mg/5ml          ,103010,D0AAADAD,1,42.74,39.7,900
228199,0103010D0AAALAL,Cimetidine_Oral Soln 200mg/5ml S/F      ,103010,D0AAALAL,1,14.25,13.21,300
175038,0103010D0BBAAAA,Tagamet_Tab 200mg                       ,103010,D0BBAAAA,1,9.79,9.18,60
3832536,0103010D0BBABAB,Tagamet_Tab 400mg                       ,103010,D0BBABAB,1,67.86,62.87,180
105213,0103010D0BBADAD,Tagamet_Syr 200mg/5ml                   ,103010,D0BBADAD,1,28.49,26.4,600
15675,0103010H0AAAAAA,Famotidine_Tab 20mg                     ,103010,H0AAAAAA,1,87.8,81.34,112
10416,0103010H0AAABAB,Famotidine_Tab 40mg                     ,103010,H0AAABAB,1,38.98,36.12,28
731,0103010N0AAAAAA,Nizatidine_Cap 150mg                    ,103010,N0AAAAAA,1,6.74,6.26,60
10417,0103010N0AAABAB,Nizatidine_Cap 300mg                    ,103010,N0AAABAB,5,76.12,70.97,148
324,0103010T0AAAAAA,Ranitidine HCl_Tab 150mg                ,103010,T0AAAAAA,2,0.75,0.91,44
733,0103010T0AAACAC,Ranitidine HCl_Tab 300mg                ,103010,T0AAACAC,15,23,21.79,670
364193,0103010T0AAADAD,Ranitidine HCl_Inj 25mg/ml 2ml Amp      ,103010,T0AAADAD,5,62.94,58.56,117
1879,0103010T0AAAEAE,Ranitidine HCl_Oral Soln 75mg/5ml S/F   ,103010,T0AAAEAE,2,2.79,2.81,150
10421,0103010T0AAAIAI,Ranitidine HCl_Tab Eff 150mg            ,103010,T0AAAIAI,4,139.92,129.65,240
23293,0103010T0AAAJAJ,Ranitidine HCl_Tab Eff 300mg            ,103010,T0AAAJAJ,1,69.96,64.81,60
4322,0103010T0AAAPAP,Ranitidine HCl_Tab 75mg                 ,103010,T0AAAPAP,1,4.52,4.3,28
729857,0103010T0AABABA,Ranitidine HCl_Liq Spec 75mg/5ml        ,103010,T0AABABA,1,2.23,2.08,100
1959779,0103010T0AABCBC,Ranitidine HCl_Liq Spec 20mg/5ml        ,103010,T0AABCBC,1,558.11,516.98,100
148014,0103010T0AABQBQ,Ranitidine HCl_Oral Soln 5mg/5ml        ,103010,T0AABQBQ,2,144.62,133.98,400
30305,0103010T0AABRBR,Ranitidine HCl_Oral Susp 5mg/5ml        ,103010,T0AABRBR,2,101.4,93.94,200
555724,0103010T0AABUBU,Ranitidine HCl_Oral Soln 150mg/5ml S/F  ,103010,T0AABUBU,1,1.83,1.81,50
2611,0103010T0BBAAAA,Zantac_Tab 150mg                        ,103010,T0BBAAAA,1,2.6,2.42,120
734,0103010T0BBACAC,Zantac_Tab 300mg                        ,103010,T0BBACAC,2,2.6,2.43,60
2216683,0103010T0BBADAD,Zantac_Inj Im/Iv 25mg/ml 2ml Amp        ,103010,T0BBADAD,3,45.12,41.82,80
26910,0103010T0BBAEAE,Zantac_Syr 150mg/10ml S/F               ,103010,T0BBAEAE,1,41.52,38.46,600
15680,0103010T0BBAHAP,Zantac 75_Tab 75mg                      ,103010,T0BBAHAP,1,12.9,12.06,60
547646,0103010T0BBAIAP,Zantac 75 Relief_Tab 75mg               ,103010,T0BBAIAP,2,52.92,49.24,224
576530,0103010T0BJAAAA,Ranitil_Tab 150mg                       ,103010,T0BJAAAA,1,8.46,7.95,28
8004759,0103010T0BJABAC,Ranitil_Tab 300mg                       ,103010,T0BJABAC,1,35.28,32.68,60
483174,0103010T0BUAAAP,Gavilast_Tab 75mg                       ,103010,T0BUAAAP,1,14,12.98,60
129988,0103020P0AAAAAA,Pirenzepine_Tab 50mg                    ,103020,P0AAAAAA,4,73.15,67.81,56
59785,0103030S0AAAAAA,Sucralfate_Tab 1g                       ,103030,S0AAAAAA,1,123.04,113.98,56
100408,0103030S0AAABAB,Sucralfate_Susp 1g/5ml S/F              ,103030,S0AAABAB,1,30,27.8,500
5840662,0103030S0AAACAC,Sucralfate_Liq Spec 250mg/5ml           ,103030,S0AAACAC,1,434.68,402.65,250
761059,0103030S0BCAAAA,Sulcrate_Tab 1g                         ,103030,S0BCAAAA,1,64.87,60.2,56
